timestamp,ticker,side,entry_price,exit_price,pnl_pct,hold_time_minutes
2026-04-11T16:40:00+00:00,SOL/USDT,short,85.19,84.75,0.5165,35.0
2026-04-11T18:30:00+00:00,SOL/USDT,short,85.16,85.68,-0.6106,100.0
2026-04-11T20:30:00+00:00,SOL/USDT,long,85.21,85.43,0.2582,80.0
2026-04-11T22:15:00+00:00,SOL/USDT,short,85.9,85.31,0.6868,15.0
2026-04-12T01:15:00+00:00,SOL/USDT,long,84.75,82.65,-2.4779,115.0
2026-04-12T10:50:00+00:00,SOL/USDT,long,81.99,82.23,0.2927,20.0
2026-04-12T12:55:00+00:00,SOL/USDT,long,82.02,82.04,0.0244,85.0
2026-04-12T14:30:00+00:00,SOL/USDT,long,81.74,81.66,-0.0979,80.0
2026-04-12T17:50:00+00:00,SOL/USDT,short,82.15,82.12,0.0365,85.0
2026-04-12T20:35:00+00:00,SOL/USDT,short,82.32,82.09,0.2794,85.0
2026-04-12T22:00:00+00:00,SOL/USDT,long,82.09,81.8,-0.3533,125.0
2026-04-13T00:50:00+00:00,SOL/USDT,short,82.17,82.08,0.1095,80.0
2026-04-13T05:05:00+00:00,SOL/USDT,long,81.75,82.07,0.3914,55.0
2026-04-13T06:15:00+00:00,SOL/USDT,short,82.29,82.11,0.2187,60.0
2026-04-13T12:05:00+00:00,SOL/USDT,short,82.13,83.2,-1.3028,185.0
2026-04-13T18:20:00+00:00,SOL/USDT,long,82.71,83.21,0.6045,30.0
2026-04-13T19:20:00+00:00,SOL/USDT,short,83.44,83.89,-0.5393,100.0
2026-04-13T22:05:00+00:00,SOL/USDT,short,84.23,86.32,-2.4813,135.0
2026-04-14T02:45:00+00:00,SOL/USDT,short,86.36,86.1,0.3011,35.0
2026-04-14T04:30:00+00:00,SOL/USDT,long,85.74,85.76,0.0233,105.0
2026-04-14T06:55:00+00:00,SOL/USDT,short,85.94,85.8,0.1629,45.0
2026-04-14T08:30:00+00:00,SOL/USDT,short,86.25,86.05,0.2319,70.0
2026-04-14T10:10:00+00:00,SOL/USDT,short,86.33,86.15,0.2085,25.0
2026-04-14T11:25:00+00:00,SOL/USDT,long,85.68,85.98,0.3501,40.0
2026-04-14T13:15:00+00:00,SOL/USDT,short,86.31,86.61,-0.3476,80.0
2026-04-14T15:05:00+00:00,SOL/USDT,long,85.5,86.18,0.7953,45.0
2026-04-14T16:50:00+00:00,SOL/USDT,long,84.95,85.37,0.4944,70.0
2026-04-14T18:35:00+00:00,SOL/USDT,long,84.53,84.1,-0.5087,95.0
2026-04-14T20:20:00+00:00,SOL/USDT,long,83.55,83.92,0.4428,40.0
2026-04-14T22:25:00+00:00,SOL/USDT,long,83.43,83.62,0.2277,45.0
2026-04-15T02:30:00+00:00,SOL/USDT,long,83.31,83.41,0.12,80.0
2026-04-15T05:00:00+00:00,SOL/USDT,short,83.69,83.39,0.3585,20.0
2026-04-15T05:30:00+00:00,SOL/USDT,long,83.2,83.09,-0.1322,100.0
2026-04-15T07:15:00+00:00,SOL/USDT,long,82.78,82.99,0.2537,35.0
2026-04-15T10:45:00+00:00,SOL/USDT,short,83.38,83.55,-0.2039,135.0
